,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
103,284,0,34000000.0,"[80, 53, 18]","[508, 644, 4198, 6194, 10104, 68551]",1994-08-25,50282766.0,119.0,239822391.0,181263354845.0,788935140.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,288,0,50000000.0,"[28, 18, 878, 53]","[824, 2154, 6194, 16775]",1995-03-10,189859560.0,127.0,188508199.0,41436021033.0,1069775306.25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
105,290,0,11000000.0,"[35, 18, 10749]",[28205],1995-05-12,2832826.0,113.0,1.0,366856795.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106,292,0,8000000.0,"[53, 80]","[14, 59, 216]",1994-09-10,213928762.0,154.0,14661007.0,181705424710.0,64978700.333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,299,0,32000000.0,"[28, 37]",[559],1995-02-09,18552460.0,107.0,1.0,3625903084.0,1841715727.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
108,301,0,15000000.0,"[18, 35]",[14],1994-12-23,11300653.0,133.0,21706101.0,156175251621.0,391936143.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,309,0,35000000.0,[16],[4108],1994-11-18,9771658.0,89.0,1.0,590087287.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,311,0,45000000.0,"[28, 53]","[2596, 6194, 11134]",1994-10-07,170362582.0,110.0,1.0,92116773049.0,1282087648.6666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
111,312,0,55000000.0,"[28, 12, 878]","[347, 694, 10320]",1994-10-27,196567262.0,121.0,1.0,1528995271.0,0.3333333333333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
112,313,0,22000000.0,"[14, 18, 35, 10751]","[2, 915]",1994-11-10,189833357.0,97.0,1.0,37355298861.0,1130489313.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
113,314,0,25000000.0,"[18, 80]","[97, 6194]",1994-09-23,28341469.0,142.0,1.0,183054896102.0,2125028735.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,322,0,25000000.0,"[28, 35, 14, 878]",[2231],1995-03-31,4064495.0,98.0,34872033.0,1002353681516.0,152368586.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
115,324,0,38000000.0,"[878, 28, 12, 53]",[4],1994-11-17,120000000.0,118.0,1.0,2467577757.0,2782707892.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
116,325,0,6000000.0,"[80, 27, 53]","[4319, 11308]",1995-05-24,12000000.0,98.0,1.0,161137626731.0,52880588.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117,332,0,11000000.0,"[10749, 18]",[4],1993-12-17,10032765.0,118.0,1.0,116032560974.0,1687144531.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,333,0,30000000.0,"[28, 80, 878, 53]",[4],1995-08-04,24048000.0,106.0,44302255.0,698977921.0,3062333759.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
119,334,0,17000000.0,"[35, 18, 10749]","[175, 915]",1995-04-21,182057016.0,103.0,154864401.0,1189026577.0,356075135.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
120,337,0,3000000.0,"[18, 35, 10749]","[105, 11840, 39250]",1994-09-29,15119639.0,106.0,1.0,72807133381.0,1386950.6666666667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
